Base,Romanized,Yiddish,Gloss,Definition
-ele,-ele,־עלע,NOUN.DIM.SG,"wild tricks, pranks; stratagems; maneuvers"
-elekh,-elekh,־עלעך,NOUN.DIM.PL,"wild tricks, pranks; stratagems; maneuvers"
-l,-l,־ל,NOUN.DIM.SG,"wild tricks, pranks; stratagems; maneuvers"
-lekh,-lekh,־לעך,NOUN.DIM.PL,"wild tricks, pranks; stratagems; maneuvers"
-n,-n,־נ,NOUN.PL,"differences of opinion"
Akive,Akives,עקיבֿאס,N,"Akiba"
Akive,Akiven,עקיבֿאן,N.DAT,"Akiba"
Aleksender,Aleksenders,אַלכּסנדרס,N,"Alexander"
Aleksender,Aleksendern,אַלכּסנדרן,N.DAT,"Alexander"
Aleykhem,Aleykhems,עליכמס,N,"Sholem Aleykhem (Sholom Rabinovitz, 1859-1916)"
Aleykhem,Aleykhemen,עליכמען,N.DAT,"Sholem Aleykhem (Sholom Rabinovitz, 1859-1916)"
Ames,Amesn,עמוסן,N.DAT,"Amos"
Ames,Amess,עמוסס,N,"Amos"
Aren,Arens,אַהרנס,N,"Aaron"
Aren,Arenen,אַהרנען,N.DAT,"Aaron"
Arye,Aryes,אַריהס,N,"Aryeh"
Arye,Aryen,אַריהן,N.DAT,"Aryeh"
Avreml,Avremls,אַבֿרהמלס,N,"Avram"
Avreml,Avremlen,אַבֿרהמלען,N.DAT,"Avram"
Avrohom,Avrohomen,אַבֿרהמען,N.DAT,""
Avrohom,Avrohoms,אַבֿרהמס,N,""
Avrom,Avromen,אַבֿרהמען,N.DAT,""
Avrom,Avroms,אַבֿרהמס,N,""
Avromtshe,Avromtshen,אַבֿרהמטשען,N.DAT,"Avram"
Avromtshe,Avromtshes,אַבֿרהמטשעס,N,"Avram"
Avromtshele,Avromtshelen,אַבֿרהמטשעלען,N.DAT,"Avram"
Avromtshele,Avromtsheles,אַבֿרהמטשעלעס,N,"Avram"
Basheva,Bashevas,בתשבֿעס,N,"Batsheba"
Basheva,Bashevan,בתשבֿען,N.DAT,"Batsheba"
Basye,Basyen,בתיהן,N.DAT,"Batya"
Basye,Basyes,בתיהס,N,"Batya"
Betsalel,Betsaleln,בצלאלן,N.DAT,"Betsalel"
Betsalel,Betsalels,בצלאלס,N,"Betsalel"
Binyomen,Binyomens,בנימינס,N N,"Benjamin"
Binyomen,Binyomenen,בנימינען,N.DAT N.DAT,"Benjamin"
Borekh,Borekhs,ברוכס,N,"Borukh"
Borekh,Borekhn,ברוכן,N.DAT,"Borukh"
Boyez,Boyezs,בועזס,N,"Boaz"
Boyez,Boyezn,בועזן,N.DAT,"Boaz"
Brukhe,Brukhes,ברוכהס,N,"Brukhe"
Brukhe,Brukhen,ברוכהן,N.DAT,"Brukhe"
Dan,Danen,דנען,N.DAT,"Dan"
Dan,Dans,דנס,N,"Dan"
Daniel,Danieln,דניאלן,N.DAT,"Daniel"
Daniel,Daniels,דניאלס,N,"Daniel"
Dine,Dinen,דינהן,N.DAT,"Dinah"
Dine,Dines,דינהס,N,"Dinah"
Dov,Dovs,דובֿס,N,"Dov"
Dov,Dovn,דובֿן,N.DAT,"Dov"
Dov_,Dov_s,דבֿס,N,"Dov"
Dov_,Dov_n,דבֿן,N.DAT,"Dov"
Doved,Dovedn,דודן,N.DAT,"David"
Doved,Doveds,דודס,N,"David"
Dvore,Dvores,דבֿורהס,N,"Deborah"
Dvore,Dvoren,דבֿורהן,N.DAT,"Deborah"
Dvoreke,Dvoreken,דבֿורהקען,N.DAT,"Deborah"
Dvoreke,Dvorekes,דבֿורהקעס,N,"Deborah"
Efrem,Efrems,אפֿרימס,N,"Ephraim"
Efrem,Efremen,אפֿרימען,N.DAT,"Ephraim"
Efroyem,Efroyems,אפֿרימס,N,"Ephraim"
Efroyem,Efroyemen,אפֿרימען,N.DAT,"Ephraim"
Eli,Elis,אליס,N,"Eli"
Eli,Elien,אליען,N.DAT,"Eli"
Elimeylekh,Elimeylekhs,ײלימלכס,N,"Elimelekh"
Elimeylekh,Elimeylekhn,ײלימלכן,N.DAT,"Elimelekh"
Elye,Elyes,אליהוס,N N,"Elijah"
Elye,Elyen,אליהון,N.DAT N.DAT,"Elijah"
Elyezer,Elyezern,אליעזרן,N.DAT,"Eliezer"
Elyezer,Elyezers,אליעזרס,N,"Eliezer"
Ester,Esters,אסתּרס,N,"Esther"
Ester,Estern,אסתּרן,N.DAT,"Esther"
Esterl,Esterln,אסתּרלן,N.DAT,"Esther"
Esterl,Esterls,אסתּרלס,N,"Esther"
Eyli,Eylis,אליס,N,"Eli"
Eyli,Eylien,אליען,N.DAT,"Eli"
Eysev,Eysevn,עשׂון,N.DAT,"Esau"
Eysev,Eysevs,עשׂוס,N,"Esau"
Eyzer,Eyzern,עזרן,N.DAT,"Eyzer"
Eyzer,Eyzers,עזרס,N,"Eyzer"
Ezre,Ezren,עזראַן,N.DAT,"Ezrah"
Ezre,Ezres,עזראַס,N,"Ezrah"
Gavriyel,Gavriyels,גבֿריאלס,N,"Gabriel"
Gavriyel,Gavriyeln,גבֿריאלן,N.DAT,"Gabriel"
Gedalye,Gedalyen,גדליהן,N.DAT,""
Gedalye,Gedalyes,גדליהס,N,""
Gershn,Gershnen,גרשונען,N.DAT,""
Gershn,Gershns,גרשונס,N,""
Hadase,Hadases,הדסהס,N,"Hadassah"
Hadase,Hadasen,הדסהן,N.DAT,"Hadassah"
Henekh,Henekhn,הנכן,N.DAT,"Enoch"
Henekh,Henekhs,הנכס,N,"Enoch"
Hilel,Hileln,הללן,N.DAT,""
Hilel,Hilels,הללס,N,""
Ite,Iten,אײַטען,N.DAT,""
Ite,Ites,אײַטעס,N,""
Iyev,Iyevs,איובֿס,N,"Job"
Iyev,Iyevn,איובֿן,N.DAT,"Job"
Kalmen,Kalmens,קלמנס,N,"Kalman"
Kalmen,Kalmenen,קלמנען,N.DAT,"Kalman"
Kasriyel,Kasriyeln,כּתריאלן,N.DAT,"Kasriel"
Kasriyel,Kasriyels,כּתריאלס,N,"Kasriel"
Kasriyel,Kasriyel,כּתריאל,NOUN.MASC,"Kasriel"
Khane,Khanes,חנהס,N,"Hanna"
Khane,Khanen,חנהן,N.DAT,"Hanna"
Khanele,Khaneles,חנהלעס,N,"Hanna"
Khanele,Khanelen,חנהלען,N.DAT,"Hanna"
Khave,Khaven,חוהן,N.DAT,""
Khave,Khaves,חוהס,N,""
Khaye,Khayen,חיהן,N.DAT,""
Khaye,Khayes,חיהס,N,""
Khayem,Khayemen,חײמען,N.DAT,""
Khayem,Khayems,חײמס,N,""
Khayem_Yankl,Khayem_Yankl,חײם־יאַנקל,NOUN.MASC,"a nobody"
Khaye|le,Khayelen,חיהלען,N.DAT,""
Khaye|le,Khayeles,חיהלעס,N,""
Kheyfets,Kheyfetsn,חפֿצן,N.DAT,""
Kheyfets,Kheyfetss,חפֿצס,N,""
Koyen,Koyens,כּהנס,N,""
Koyen,Koyenen,כּהנען,N.DAT,""
Levi,Levis,לויס,N,""
Levi,Levien,לויען,N.DAT,""
Leye,Leyen,לאהן,N.DAT,"Leah"
Leye,Leyes,לאהס,N,"Leah"
Lovn,Lovnen,לבֿנען,N.DAT,"Laban"
Lovn,Lovns,לבֿנס,N,"Laban"
Malke,Malkes,מלכּהס,N,""
Malke,Malken,מלכּהן,N.DAT,""
Matisyohu,Matisyohus,מתּתיהוס,N,"Yoel Mattathias"
Matisyohu,Matisyohuen,מתּתיהוען,N.DAT,"Yoel Mattathias"
Matye,Matyen,םאַטיען,N.DAT,""
Matye,Matyes,םאַטיעס,N,""
Mekhl,Mekhls,מיכאלס,N,""
Mekhl,Mekhlen,מיכאלען,N.DAT,""
Menakhem,Menakhems,מנחמס,N,""
Menakhem,Menakhemen,מנחמען,N.DAT,""
Menashe,Menashen,מנשהן,N.DAT,""
Menashe,Menashes,מנשהס,N,""
Meyer,Meyerlekh,מאירלעך,NOUN.DIM.PL,""
Meyer,Meyerl,מאירל,NOUN.DIM.SG,""
Meyer,Meyern,מאירן,N.DAT,""
Meyer,Meyerele,מאירעלע,NOUN.DIM.SG,""
Meyer,Meyerelekh,מאירעלעך,NOUN.DIM.PL,""
Meyer,Meyers,מאירס,N,""
Meylekh,Meylekhn,מלכן,N.DAT,""
Meylekh,Meylekhs,מלכס,N,""
Mikhl,Mikhls,מיכאלס,N,"Michael"
Mikhl,Mikhlen,מיכאלען,N.DAT,"Michael"
Mikhoyl,Mikhoyls,מיכאלס,N,"Michael"
Mikhoyl,Mikhoyln,מיכאלן,N.DAT,"Michael"
Miryem,Miryemen,מרימען,N.DAT,"Miriam"
Miryem,Miryems,מרימס,N,"Miriam"
Mordkhe,Mordkhen,מרדכין,N.DAT,"Mordechai"
Mordkhe,Mordkhes,מרדכיס,N,"Mordechai"
Moyshe,Moyshen,משהן,N.DAT,""
Moyshe,Moyshes,משהס,N,""
Moyshe|le,Moyshelen,משהלען,N.DAT,""
Moyshe|le,Moysheles,משהלעס,N,""
Naftoli,Naftolien,נפֿתּליען,N.DAT,""
Naftoli,Naftolis,נפֿתּליס,N,""
Naftolin,Naftolinen,נפֿתּלינען,N.DAT,""
Naftolin,Naftolins,נפֿתּלינס,N,""
Naftoltsi,Naftoltsis,נפֿתּלציס,N,""
Naftoltsi,Naftoltsien,נפֿתּלציען,N.DAT,""
